"species","ntypes","types"
"Rockfish Unid",1,"groundfish"
"Ronquil Unid",1,"nongroundfish"
"Rose Star",1,"nongroundfish"
"Rosethorn Rockfish",1,"groundfish"
"Rosy Brittle Star",1,"nongroundfish"
"Rosy Razor Clam",1,"nongroundfish"
"Rosy Rockfish",1,"groundfish"
"Rosy Tritonia",1,"nongroundfish"
"Rough Anemone",1,"nongroundfish"
"Rough Cranch Squid",1,"nongroundfish"
"Rough Pomfret",1,"nongroundfish"
"Roughback Sculpin",1,"nongroundfish"
"Rougheye/Blackspotted Rockfish",1,"groundfish"
"Roughscale Sole",1,"groundfish"
"Roughshoulder/Broad Skate",1,"groundfish"
"Round Herring",1,"nongroundfish"
"Round Stingray",1,"nongroundfish"
"Roundfish Unid",1,"groundfish"
"Rubberlip Surfperch",1,"nongroundfish"
"Rubynose Brotula",1,"nongroundfish"
"Sablefish",1,"groundfish"
"Sail Jellyfish",1,"nongroundfish"
"Sailfish",1,"nongroundfish"
"Salmon Shark",1,"nongroundfish"
"Salp Unid",1,"nongroundfish"
"Salpidae Unid",1,"nongroundfish"
"Sand Dollar Unid",1,"nongroundfish"
"Sand Lance",1,"nongroundfish"
"Sand Lance Unid",1,"nongroundfish"
"Sand Sole",1,"groundfish"
"Sanddab Unid",1,"groundfish"
"Sandpaper Skate",1,"groundfish"
"Sandpaper Squid",1,"nongroundfish"
"Sandy Sea Cucumber",1,"nongroundfish"
"Sarcastic Fringehead",1,"nongroundfish"
"Sargo",1,"nongroundfish"
"Sawtooth Eel Unid",1,"nongroundfish"
"Scabbardfish",1,"nongroundfish"
"Scabbardfish/Cutlassfish Unid",1,"nongroundfish"
"Scaleless Dragonfish Unid",1,"nongroundfish"
"Scallop Unid",1,"nongroundfish"
"Scaly Dragonfish Unid",1,"nongroundfish"
"Scarlet King Crab",1,"nongroundfish"
"Sculpin Unid",1,"nongroundfish"
"Sea Anemone Unid",1,"nongroundfish"
"Sea Cockroach Unid",1,"nongroundfish"
"Sea Cucumber Unid",1,"nongroundfish"
"Sea Devil Unid",1,"nongroundfish"
"Sea Fan",1,"nongroundfish"
"Sea Mouse Unid",1,"nongroundfish"
"Sea Nettle",1,"nongroundfish"
"Sea Pansy",1,"nongroundfish"
"Sea Pen",1,"nongroundfish"
"Sea Pen-Sea Whip Unid",1,"nongroundfish"
"Sea Pen/Pansy Unid",1,"nongroundfish"
"Sea Pig Unid",1,"nongroundfish"
"Sea Snail Unid",1,"nongroundfish"
"Sea Spider Unid",1,"nongroundfish"
"Sea Squirt Unid",1,"nongroundfish"
"Sea Star Unid",1,"nongroundfish"
"Sea Tongue",1,"nongroundfish"
"Sea Whip",1,"nongroundfish"
"Sea Whip/Fan",1,"nongroundfish"
"Seadevil Unid",1,"nongroundfish"
"Senorita",1,"nongroundfish"
"Sergestid Shrimp Unid",1,"nongroundfish"
"Sevengill Shark",1,"nongroundfish"
"Shab Unid",1,"nongroundfish"
"Shame Faced Crab",1,"nongroundfish"
"Shark and Skate Unid",1,"groundfish"
"Shark Unid",1,"nongroundfish"
"Sharpchin Rockfish",1,"groundfish"
"Sharpnose Crab",1,"nongroundfish"
"Sharpnose Sculpin",1,"nongroundfish"
"Sheep Crab",1,"nongroundfish"
"Shelf Rockfish Unid",1,"groundfish"
"Shells",1,"nongroundfish"
"Shiner Perch",1,"nongroundfish"
"Shiner Surfperch",1,"nongroundfish"
"Shining Loosejaw",1,"nongroundfish"
"Shining Tubeshoulder",1,"nongroundfish"
"Short-spined Pink Star",1,"nongroundfish"
"Shortbelly Rockfish",1,"groundfish"
"Shortraker Rockfish",1,"groundfish"
"Shortraker/Rougheye Rockfish",1,"groundfish"
"Shortraker/Rougheye/Blackspotted Rockfish",1,"groundfish"
"Shortspine Combfish",1,"nongroundfish"
"Shortspine Thornyhead",1,"groundfish"
"Shortspine/Longspine Thornyhead",1,"groundfish"
"Shoulderspot Grenadier",1,"groundfish"
"Shovelnose Guitarfish",1,"nongroundfish"
"Showy Snailfish",1,"nongroundfish"
"Shrimp Unid",1,"nongroundfish"
"Sidestripe Shrimp",1,"nongroundfish"
"Silver Spinyfin",1,"nongroundfish"
"Silver Surfperch",1,"nongroundfish"
"Silvergray Rockfish",1,"groundfish"
"Silvery Hatchetfish",1,"nongroundfish"
"Sixgill Shark",1,"nongroundfish"
"Skate Unid",1,"nongroundfish"
"Skilfish",1,"nongroundfish"
"Skipjack Tuna",1,"nongroundfish"
"Slender Barracudina",1,"nongroundfish"
"Slender Codling",1,"nongroundfish"
"Slender Hatchetfish",1,"nongroundfish"
"Slender Snipe Eel",1,"nongroundfish"
"Slender Sole",1,"nongroundfish"
"Slender Star",1,"nongroundfish"
"Slickhead Unid",1,"nongroundfish"
"Slim Sculpin",1,"nongroundfish"
"Slimy Cushion Star",1,"nongroundfish"
"Slope Rockfish Unid",1,"groundfish"
"Sloppy Cucumber",1,"nongroundfish"
"Smalldisk Snailfish",1,"nongroundfish"
"Smalleye Squaretail",1,"nongroundfish"
"Smelt Unid",1,"nongroundfish"
"Smelt/Herring Unid",1,"nongroundfish"
"Smooth Grenadier",1,"groundfish"
"Smooth Octopus Unid",1,"nongroundfish"
"Smooth Shrimp",1,"nongroundfish"
"Smooth Stargazer",1,"nongroundfish"
"Smootheye Poacher",1,"nongroundfish"
"Smoothhound Shark Unid",1,"nongroundfish"
"Snail Unid",1,"nongroundfish"
"Snailfish Unid",1,"nongroundfish"
"Snakehead Eelpout",1,"nongroundfish"
"Snakehead Star",1,"nongroundfish"
"Snipe Eel Unid",1,"nongroundfish"
"Snubnose Pipefish",1,"nongroundfish"
"Soft Coral",1,"nongroundfish"
"Soft Eelpout",1,"nongroundfish"
"Soft Finger Sponge",1,"nongroundfish"
"Soft Snout Skate",1,"groundfish"
"Soft-Shelled Clam",1,"nongroundfish"
"Softhead Grenadier",1,"groundfish"
"Solariella Unid",1,"nongroundfish"
"Solenogaster Unid",1,"nongroundfish"
"Solenogastres Unid",1,"nongroundfish"
"Soupfin Shark",1,"groundfish"
"Southern Rock Sole",1,"groundfish"
"Southern Spearnose Poacher",1,"nongroundfish"
"Speckled Rockfish",1,"groundfish"
"Speckled Sanddab",1,"nongroundfish"
"Specklefin Midshipman",1,"nongroundfish"
"Sphons Giant File Clam",1,"nongroundfish"
"Spiky King Crab",1,"nongroundfish"
"Spiny Brittle Star",1,"nongroundfish"
"Spiny Dogfish Shark",1,"groundfish"
"Spiny Dreamer",1,"nongroundfish"
"Spiny King Crab",1,"nongroundfish"
"Spiny Lithode Crab",1,"nongroundfish"
"Spiny Lobster Unid",1,"nongroundfish"
"Spiny Sand Star",1,"nongroundfish"
"Spiny Star",1,"nongroundfish"
"Spiny Tunicate",1,"nongroundfish"
"Spiny Vase Sponge",1,"nongroundfish"
"Spinyfin Unid",1,"nongroundfish"
"Spinyhead Sculpin",1,"nongroundfish"
"Split-eye Argid",1,"nongroundfish"
"Splitnose Rockfish",1,"groundfish"
"Splitnose Searobin",1,"nongroundfish"
"Sponge Hermit",1,"nongroundfish"
"Sponge Unid",1,"nongroundfish"
"Spongy Gorgonian",1,"nongroundfish"
"Spookfish Unid",1,"nongroundfish"
"Spot Prawn",1,"nongroundfish"
"Spotfin Sculpin",1,"nongroundfish"
"Spotfin Surfperch",1,"nongroundfish"
"Spotted Batfish",1,"nongroundfish"
"Spotted Cusk-eel",1,"nongroundfish"
"Spotted Cuskeel",1,"nongroundfish"
"Spotted Ratfish",1,"groundfish"
"Spotted Rockfish Unid",1,"groundfish"
"Spotted Sand Bass",1,"nongroundfish"
"Spotted Turbot",1,"nongroundfish"
"Squarespot Rockfish",1,"groundfish"
"Squat Lobster and Pinch Bug Unid",1,"nongroundfish"
"Squat Lobster Unid",1,"nongroundfish"
"Squid Unid",1,"nongroundfish"
"Starfish Unid",1,"nongroundfish"
"Stargazer Unid",1,"nongroundfish"
"Starry Flounder",1,"groundfish"
"Starry Rockfish",1,"groundfish"
"Starry Skate",2,"groundfish, nongroundfish"
"Steelhead [Rainbow Trout]",1,"nongroundfish"
"Stomphia Unid",1,"nongroundfish"
"Stony Coral",1,"nongroundfish"
"Striped Bass",1,"nongroundfish"
"Striped Marlin",1,"nongroundfish"
"Striped Surfperch",1,"nongroundfish"
"Stripetail Rockfish",1,"groundfish"
"Strongylocentrotus Unid",1,"nongroundfish"
"Sturgeon Poacher",1,"nongroundfish"
"Sturgeon Unid",1,"nongroundfish"
"Suberites domuncula",1,"nongroundfish"
"Sun Sea Star",1,"nongroundfish"
"Sunflower Sea Star",1,"nongroundfish"
"Sunrise Jellyfish",1,"nongroundfish"
"Sunstar Starfish",1,"nongroundfish"
"Surf Smelt",1,"nongroundfish"
"Surfperch Unid",1,"nongroundfish"
"Swallower Unid",1,"nongroundfish"
"Swell Shark",1,"nongroundfish"
"Swellhead Snailfish",1,"nongroundfish"
"Swiftia pacifica",1,"nongroundfish"
"Swiftia simplex",1,"nongroundfish"
"Swimming Anemone",1,"nongroundfish"
"Swordfish",1,"nongroundfish"
"Swordspine Rockfish",1,"groundfish"
"Tabled Whelk",1,"nongroundfish"
"Tanner Crab Unid",1,"nongroundfish"
"Tanneri Tanner Crab",1,"nongroundfish"
"Thecosomata Unid",1,"nongroundfish"
"Thetys vagina",1,"nongroundfish"
"Thornback",1,"nongroundfish"
"Thornback Sculpin",1,"nongroundfish"
"Thorny Star",1,"nongroundfish"
"Threadfin Sculpin",1,"nongroundfish"
"Threadfin Slickhead",1,"nongroundfish"
"Thresher Shark Unid",1,"nongroundfish"
"Tiger Rockfish",1,"groundfish"
"Top Smelt",1,"nongroundfish"
"Treefish Rockfish",1,"groundfish"
"Triggerfish Unid",1,"nongroundfish"
"Tropical Hatchetfish",1,"nongroundfish"
"Tubeshoulder Unid",1,"nongroundfish"
"Tuna Unid",1,"nongroundfish"
"Tunicate Unid",1,"nongroundfish"
"Turban Whelk",1,"nongroundfish"
"Twoline Eelpout",1,"nongroundfish"
"Twospine Crangon",1,"nongroundfish"
"Umbelluilidae Unid",1,"nongroundfish"
"Urchin Unid",1,"nongroundfish"
"Urchin/Sand Dollar Unid",1,"nongroundfish"
"Urticina Unid",1,"nongroundfish"
"Vampire Squid",1,"nongroundfish"
"Vase Sponge",1,"nongroundfish"
"Venefica tentaculata",1,"nongroundfish"
"Vermilion Crab",1,"nongroundfish"
"Vermilion Rockfish",1,"groundfish"
"Viperfish Unid",1,"nongroundfish"
"Walleye Pollock",1,"nongroundfish"
"Walleye Surfperch",1,"nongroundfish"
"Warty Poacher",1,"nongroundfish"
"Wattled Eelpout",1,"nongroundfish"
"Weather Vane Scallop",1,"nongroundfish"
"Wheel Jellyfish",1,"nongroundfish"
"Whelk Unid",1,"nongroundfish"
"Whiptail Gulper Unid",1,"nongroundfish"
"White Barracudina",1,"nongroundfish"
"White Claypipe Sponge",1,"nongroundfish"
"White Croaker",1,"nongroundfish"
"White Sea Bass",1,"nongroundfish"
"White Skate",1,"groundfish"
"White Sturgeon",1,"nongroundfish"
"White Surfperch",1,"nongroundfish"
"White Urchin",1,"nongroundfish"
"White-scaled Cucumber",1,"nongroundfish"
"Whitebait Smelt",1,"nongroundfish"
"Whitebarred Prickleback",1,"nongroundfish"
"Whitespeckled Rockfish",1,"groundfish"
"Whitespotted Greenling",1,"nongroundfish"
"Widow Rockfish",1,"groundfish"
"Wolf-eel",1,"nongroundfish"
"Worm Unid",1,"nongroundfish"
"Worms Unid",1,"nongroundfish"
"Wrinkled Slime Star",1,"nongroundfish"
"Wrymouth Unid",1,"nongroundfish"
"Xantus Swimming Crab",1,"nongroundfish"
"Yaquina Grenadier",1,"groundfish"
"Yellow Rock Crab",1,"nongroundfish"
"Yellow-ringed Octopus",1,"nongroundfish"
"Yelloweye Rockfish",1,"groundfish"
"Yellowfin Croaker",1,"nongroundfish"
"Yellowfin Sole",1,"nongroundfish"
"Yellowfin Tuna",1,"nongroundfish"
"Yellowmouth Rockfish",1,"groundfish"
"Yellowtail Jack",1,"nongroundfish"
"Yellowtail Rockfish",1,"groundfish"
"Zoroaster ophiurus",1,"nongroundfish"
"Zoroasteridae Unid",1,"nongroundfish"
