PortCode,MajorPortCode,MajorPortName,CountyCode,PortName,DiscontinuedDate
454,4,SAN FRANCISCO,43,SAN JOSE,01/01/1996
455,4,SAN FRANCISCO,21,CHINA CAMP,
457,4,SAN FRANCISCO,21,NOVATO,01/01/1996
458,4,SAN FRANCISCO,41,PEDRO VALLEY,01/01/1996
459,4,SAN FRANCISCO,49,PETALUMA,
462,3,BODEGA BAY,21,MARSHALL,
463,4,SAN FRANCISCO,21,MCNEARS POINT,01/01/1996
464,4,SAN FRANCISCO,1,OAKLAND,
465,4,SAN FRANCISCO,41,SAN MATEO,01/01/1996
466,4,SAN FRANCISCO,21,SAN QUENTIN,01/01/1996
468,4,SAN FRANCISCO,21,SAN RAFAEL,
469,4,SAN FRANCISCO,21,SAUSALITO,
470,4,SAN FRANCISCO,38,SOUTH SAN FRANCISCO,
471,4,SAN FRANCISCO,1,ALAMEDA,
472,4,SAN FRANCISCO,1,BERKELEY,
473,3,BODEGA BAY,49,BODEGA BAY,
474,3,BODEGA BAY,21,INVERNESS,
475,4,SAN FRANCISCO,49,SANTA ROSA,01/01/1996
476,3,BODEGA BAY,21,POINT REYES,
477,3,BODEGA BAY,21,TOMALES BAY,
478,4,SAN FRANCISCO,7,RICHMOND,
479,4,SAN FRANCISCO,12,PIGEON POINT,01/01/1996
481,4,SAN FRANCISCO,41,POINT MONTARA,01/01/1996
482,4,SAN FRANCISCO,41,PESCADERO,01/01/1996
483,4,SAN FRANCISCO,41,POINT SAN PEDRO,01/01/1996
484,4,SAN FRANCISCO,1,ALBANY,01/01/1996
485,4,SAN FRANCISCO,38,FARALLONE IS,01/01/1996
486,4,SAN FRANCISCO,21,MILLERTON,01/01/1996
487,3,BODEGA BAY,21,BOLINAS,
488,3,BODEGA BAY,21,MARCONI COVE,
489,4,SAN FRANCISCO,49,JENNER,01/01/1996
490,4,SAN FRANCISCO,21,HAMLET,01/01/1996
491,4,SAN FRANCISCO,21,CORTE MADERA,01/01/1996
492,4,SAN FRANCISCO,49,SEBASTOPOL,01/01/1996
494,4,SAN FRANCISCO,43,PALO ALTO,01/01/1996
495,4,SAN FRANCISCO,45,CALIFORNIA CITY,01/01/1996
496,4,SAN FRANCISCO,21,TIBURON,01/01/1996
497,4,SAN FRANCISCO,21,STINSON BEACH,01/01/1996
498,4,SAN FRANCISCO,41,ROCKAWAY BEACH,01/01/1996
499,4,SAN FRANCISCO,49,WINDSOR,01/01/1996
500,5,MONTEREY,99,MONTEREY AREA,01/01/1996
501,3,BODEGA BAY,50,CERES,01/01/1996
502,5,MONTEREY,44,SOQUEL,01/01/1996
503,5,MONTEREY,10,KINGSBURG,01/01/1996
504,5,MONTEREY,10,CLOVIS,01/01/1996
505,5,MONTEREY,24,LOS BANOS,01/01/1996
506,5,MONTEREY,44,FELTON,01/01/1996
507,5,MONTEREY,35,SAN JUAN BAUTISTA,01/01/1996
508,5,MONTEREY,54,VISALIA,01/01/1996
509,5,MONTEREY,54,LINDSAY,01/01/1996
510,4,SAN FRANCISCO,20,OAKHURST,01/01/1996
511,5,MONTEREY,27,BIG SUR,01/01/1996
512,5,MONTEREY,40,SAN MIGUEL,01/01/1996
513,5,MONTEREY,40,PASO ROBLES,01/01/1996
514,5,MONTEREY,10,COALINGA,01/01/1996
515,5,MONTEREY,27,BIG CREEK,
516,5,MONTEREY,27,MILL CREEK,
517,5,MONTEREY,27,WILLOW CREEK,
549,5,MONTEREY,27,FORT ORD,01/01/1996
550,5,MONTEREY,27,MONTEREY,
551,5,MONTEREY,10,KERMAN,01/01/1996
552,5,MONTEREY,43,GILROY,01/01/1996
553,5,MONTEREY,43,MORGAN HILL,01/01/1996
556,5,MONTEREY,54,PIXLEY,01/01/1996
557,5,MONTEREY,20,MADERA,01/01/1996
558,5,MONTEREY,10,FRESNO,01/01/1996
559,5,MONTEREY,20,CHOWCHILLA,01/01/1996
560,5,MONTEREY,24,DOS PALOS,01/01/1996
581,5,MONTEREY,35,HOLLISTER,01/01/1996
584,5,MONTEREY,27,LUCIA,01/01/1996
585,5,MONTEREY,27,PEBBLE BEACH,01/01/1996
586,5,MONTEREY,27,POINT LOBOS,01/01/1996
587,5,MONTEREY,27,PACIFIC GROVE,01/01/1996
588,5,MONTEREY,27,SEASIDE,01/01/1996
589,5,MONTEREY,27,CARMEL,01/01/1996
590,5,MONTEREY,27,SALINAS,01/01/1996
591,5,MONTEREY,44,CAPITOLA,01/01/1996
592,5,MONTEREY,27,MOSS LANDING,
593,5,MONTEREY,44,SANTA CRUZ,
594,5,MONTEREY,44,WATSONVILLE,01/01/1996
596,5,MONTEREY,44,DAVENPORT,01/01/1996
598,5,MONTEREY,27,MARINA,01/01/1996
599,5,MONTEREY,44,APTOS,01/01/1996
600,7,SANTA BARBARA,99,SANTA BARBARA AREA,01/01/1996
601,6,MORRO BAY,40,ARROYO GRANDE,01/01/1996
602,6,MORRO BAY,40,AVILA/PORT SAN LUIS,
603,6,MORRO BAY,40,CAYUCOS,01/01/1996
604,7,SANTA BARBARA,42,GAVIOTA BEACH,
605,7,SANTA BARBARA,56,PORT HUENEME,
606,6,MORRO BAY,40,MORRO BAY,
607,6,MORRO BAY,40,OCEANO,01/01/1996
608,7,SANTA BARBARA,56,OXNARD,
609,6,MORRO BAY,40,SAN LUIS OBISPO,01/01/1996
610,6,MORRO BAY,40,PISMO BEACH,01/01/1996
611,7,SANTA BARBARA,42,SANTA BARBARA HARBOR,
612,6,MORRO BAY,42,SANTA MARIA,01/01/1996
613,7,SANTA BARBARA,56,VENTURA,
614,7,SANTA BARBARA,42,GOLETA BEACH,
615,6,MORRO BAY,40,SAN SIMEON,
616,6,MORRO BAY,42,SUMMERLAND,01/01/1996
618,7,SANTA BARBARA,42,GUADALUPE BEACH,
619,7,SANTA BARBARA,42,CONCEPTION,01/01/1996
620,7,SANTA BARBARA,42,POINT ARGUELLO,01/01/1996
621,7,SANTA BARBARA,42,SURF BEACH,
623,7,SANTA BARBARA,42,SANTA CRUZ ISLAND,01/01/1996
628,7,SANTA BARBARA,56,POINT MUGU,01/01/1996
629,7,SANTA BARBARA,40,SHELL BEACH,01/01/1996
630,7,SANTA BARBARA,42,RINCON,01/01/1996
631,7,SANTA BARBARA,40,NIPOMO,01/01/1996
632,6,MORRO BAY,40,CAMBRIA,01/01/1996
634,6,MORRO BAY,56,SOLIMAR,01/01/1996
635,7,SANTA BARBARA,42,CARPENTERIA,
638,6,MORRO BAY,40,GROVER CITY,01/01/1996
639,7,SANTA BARBARA,42,LOMPOC,01/01/1996
640,6,MORRO BAY,56,SIMI VALLEY,01/01/1996
641,6,MORRO BAY,54,PORTERVILLE,01/01/1996
642,6,MORRO BAY,15,DELANO,01/01/1996
643,6,MORRO BAY,15,BAKERSFIELD,01/01/1996
644,6,MORRO BAY,15,KERNVILLE,01/01/1996
645,6,MORRO BAY,42,SOLVANG,01/01/1996
646,6,MORRO BAY,54,TULARE,01/01/1996
647,6,MORRO BAY,15,SHAFTER,01/01/1996
648,6,MORRO BAY,40,BAYWOOD PARK,01/01/1996
649,6,MORRO BAY,15,OILDALE,01/01/1996
650,6,MORRO BAY,56,OJAI,01/01/1996
651,6,MORRO BAY,56,WEST LAKE VILLAGE,01/01/1996
652,11,INLAND WATERS,15,LAKE ISABELLA,
653,6,MORRO BAY,40,ATASCADERO,01/01/1996
654,6,MORRO BAY,15,RIDGECREST,01/01/1996
655,6,MORRO BAY,56,SANTA PAULA,01/01/1996
